onset	duration	bid
7.261	4.023	1.0
18.785	4.023	1.5
29.492	4.023	4.0
40.533	4.023	4.0
51.541	4.023	3.0
61.999	4.023	2.5
73.306	4.023	0.5
85.579	4.023	1.5
96.354	4.023	2.5
106.612	4.024	1.5
117.803	4.023	1.5
128.444	4.023	2.0
139.268	4.023	2.0
150.259	4.023	1.5
160.967	4.023	3.0
171.491	4.023	2.5
182.449	4.024	3.5
193.423	4.023	4.0
204.597	4.023	2.0
215.988	4.023	1.5
225.880	4.023	1.0
235.971	4.023	2.0
245.863	4.023	2.5
256.238	4.023	5.0
267.162	4.023	3.0
278.919	4.023	3.5
289.327	4.024	2.0
299.585	4.023	2.0
309.510	4.023	1.0
320.734	4.023	1.5
331.792	4.024	3.0
342.500	4.023	4.0
354.373	4.023	3.0
364.282	4.023	1.5
375.056	4.023	2.0
385.831	4.024	1.0
397.254	4.023	3.5
407.712	4.023	1.5
419.786	4.023	2.0
429.661	4.023	1.5
440.752	4.023	5.0
452.342	4.023	2.5
461.918	4.023	2.0
471.693	4.023	0.5
483.466	4.023	2.0
