global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06
1010.0366622657708	n/a	n/a	1020174.0591209788	1536.6293550734551	n/a	n/a	2361229.7748734625	989.676883197821	n/a	n/a	979460.3331361534	997.4453990065208	985.8309240871006	n/a	n/a	n/a	n/a	-0.0626016768	-0.0238939749	-0.0672707496	-0.118214898	-0.0047593333	0.1393927358	0.0767000577	-0.0516329317	-0.0231086765	0.1298805721	0.1384863209	-0.0497866306	0.0222114596	-0.0362190336	0.1783024933	-0.0163965437	0.0936268936	-0.1183150055	0.230795235	-0.0231797075	0.0902810827	-0.038161486	0.0602784178	-0.0231034203	0.1284860771	0.134403662	-0.0468340539	0.035609614	-0.043159795	0.1609257133	-0.014116941	0.0461345041	-0.15865058	0.2220808266	-0.093624398	0.0775029928	-0.0508306077	0.0729817706	-0.0185089304	0.0393958611	0.0319623113	-0.0659491203	0.0180220692	-0.1467119229	0.0647403363	-0.1867543178	0.0038166523	-0.1182052753	-0.0012298939	0.0399008685	-0.0255255056	0.1016200117	-0.2094724588	0.0505728561	-0.0358972463	0.1281463103	-0.0859608068	0.0517877511	-0.1095409138	0.0643860482	-0.0043974689	-0.0895120185	0.1056992146	0.105687005	0.1056666568	0.1056381715	0.1056015514	0.1055567991	-0.0505374	n/a	n/a	0.00255402879876	0.0251648	n/a	n/a	0.00063326715904	0.0882812	n/a	0.00779357027344	n/a	-0.00105062	n/a	n/a	1.1038023844e-06	0.000466502	n/a	2.17624116004e-07	n/a	2.11834e-05	n/a	4.4873643556000007e-10	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1011.5831857789544	1.5465235131836153	2.391734976829792	1023300.5417506986	1533.1607728996532	-3.468582173801906	12.031062296416357	2350581.9555582623	992.5073039874482	2.830420789627169	8.011281846353688	985070.7484684328	1000.5565328282634	987.850383511296	0.8333169999999999	21.611902	0.0423232799999999	0.0248811	-0.0541700541	-0.0671566616	-0.0603310484	-0.0911442112	-0.0231048942	0.1528030883	0.0524613983	-0.0278476109	-0.0479174374	0.0997083138	0.0565418025	-0.1203995825	0.1296354636	0.0475828668	0.0640519696	-0.0773374089	0.0762138736	0.0181613232	0.0651422633	0.1040041323	0.1986378917	-0.0691008283	-0.0093686427	-0.0485085787	0.0982013963	0.05316199	-0.1122951526	0.1408299901	0.0437254129	0.0733962446	-0.072401112	0.0745999525	0.0017057389	0.0122646605	-0.126089135	0.1993338068	-0.0568520192	0.0097802586	-0.0181133066	0.0444456752	0.0406397865	-0.1026787874	0.0622988308	-0.0475242405	0.0142372132	-0.2041920309	0.0085417194	-0.1493082095	-0.0769376147	-0.0272669258	0.0389868792	0.0750521165	-0.1691207012	0.085470399	0.0271533959	0.0183665717	-0.010429679	0.0706553925	-0.0826137378	0.0309514954	0.0077047019	-0.0303876246	0.1056666568	0.1055567991	0.1053737875	0.1051177489	0.1047888607	0.1043873508	-0.0505417	-4.299999999998749e-06	1.848999999998924e-11	0.00255446343889	0.0211872	-0.0039776	1.582130176000001e-05	0.00044889744384	0.110234	0.0219527999999999	0.0121515347559999	0.0004819254278399	-0.00105062	0.0	0.0	1.1038023844e-06	0.000309218	-0.000157284	9.5615771524e-08	2.4738256656e-08	0.000191671	0.0001704876	3.6737772241e-08	2.906602175376e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1010.280083960164	-1.3031018187904235	1.6980743501349105	1020665.848046556	1527.1768513724307	-5.983921527222492	35.80731684395676	2332269.135367812	995.1572567388272	2.6499527513790326	7.0222495845413055	990337.965639948	1003.082458255798	978.9204602841978	0.8345939999999998	21.645041	0.089498365	0.0411973	-0.0394144989	-0.096381682	0.0765298192	-0.0501377341	-0.0539159699	0.1000320952	-0.0181635415	-0.0867622691	-0.0965825443	0.0729016728	0.0326717255	-0.1412216798	0.149543117	-0.0854185801	0.0929655669	-0.0544777168	0.0473819037	-0.045406754	-0.022960588	-0.0967785488	0.142793462	0.0583817725	0.1473228213	-0.0967399069	0.0728319885	0.0293517312	-0.1219736238	0.1678053173	-0.0940585269	0.0811036891	-0.0472103157	0.0355421474	-0.0524892708	0.0419839052	0.1029249719	0.1348085138	0.0428602412	0.1440552032	-0.01319899	0.0710972602	0.014558574	-0.0275149497	0.1056963984	-0.0289076665	-0.0270637952	-0.1800166059	-0.0556089581	-0.1957996919	-0.0312611781	-0.0352428293	0.0486441352	-0.0196299116	-0.1785414213	0.0597885559	0.0316240109	0.0564137493	-0.0717609633	-0.0414913426	-0.0039392748	0.0322085433	-0.0441635638	-0.0636126572	0.1056015514	0.1052965477	0.1047888607	0.1040794675	0.1031697337	0.1020614103	-0.0391302	0.0114115	0.00013022233225	0.0015311725520399	0.0341802	0.012993	0.000168818049	0.00116828607204	0.142371	0.032137	0.020269501641	0.001032786769	-0.00122732	-0.0001767	3.1222890000000045e-08	1.5063143824000005e-06	-5.28763e-05	-0.0003620943	2.79590310169e-09	1.3111228209248997e-07	0.000312014	0.000120343	9.7352736196e-08	1.4482437649e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1008.7938091157176	-1.4862748444463705	2.2090129132340826	1017664.949310199	1529.211410563424	2.03455919099315	4.139431101654701	2338487.5381973768	995.197671079788	0.040414340960865	0.001633318955301	990418.404522634	1003.8191156822866	973.1718257074004	0.967162	25.083158	0.0708976499999999	0.0451642	0.0024980992	-0.0875417523	0.1197749804	0.0485170213	-0.080785701	-0.0307313017	-0.0885038916	-0.1295758587	-0.0474673595	-0.1429631452	0.0042031884	0.0622810386	0.0741460185	-0.0437046468	0.0978754188	0.1229690031	0.0763595003	6.624e-05	0.0480740165	-0.0024678516	-0.0711513794	-0.0627455583	-0.0842739794	-0.0467315132	-0.1464558929	0.0070568053	0.0723285689	0.0760220231	-0.0490926068	0.0801319698	0.1245444089	0.0672875431	-0.0319906542	0.0264272072	-0.0414600271	-0.0696132694	-0.0791708748	-0.0897344239	0.016144496	0.0742859881	-0.0512392715	0.086095343	0.0641817433	-0.046138861	-0.0107997905	-0.1152497197	-0.1378019821	-0.1740410782	-0.0227539803	0.0278283302	-0.0296924657	-0.0563979282	-0.0968903326	0.1269585583	-0.0280535997	-0.1132832629	0.0519133477	0.0079429248	0.10826741	0.0559882391	-0.1243251487	0.0223273598	0.1055039182	0.1049065715	0.1039134975	0.1025284424	0.1007566308	0.0986047464	-0.0371831	0.0019471	3.791198410000001e-06	0.0013825829256099	0.0425179	0.0083376999999999	6.951724128999994e-05	0.0018077718204099	0.160716	0.018345	0.025829632656	0.000336539025	-0.0020309	-0.0008035799999999	6.457408163999998e-07	4.12455481e-06	-5.28763e-05	0.0	2.79590310169e-09	0.0	0.000270237	-4.1777e-05	7.3028036169e-08	1.745317729e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1012.4372389881264	3.643429872408774	13.274581235160614	1025029.1628899006	1528.180477039926	-1.030933523497879	1.0628239298717517	2335335.570405976	995.527695725901	0.3300246461129745	0.108916267041994	991075.3929573222	1003.3610573595904	993.907893479312	0.970027	25.157465	0.1039333349999999	0.0612294	0.0346078262	-0.0472451463	-0.025326207	0.0539340008	-0.0439563523	0.0153709101	0.0275256602	-0.0178142726	-0.0357616373	-0.0931343149	0.0506951232	0.0760903656	-0.0411550071	0.0244482663	-0.0725684725	0.0707455265	-0.1159178281	0.0235857851	0.0110999317	-0.1042883603	-0.0430591803	0.0759419695	-0.0003244384	-0.0356095599	-0.0892879336	0.0508190076	0.058573693	-0.0574647506	0.0397145206	-0.0890308243	0.0711226046	-0.1009493116	0.0479238651	0.0774990994	0.0987284156	-0.0470542125	0.0531167717	-0.0148532696	0.0387071754	0.0272472974	-0.0990956383	0.0429431679	-0.0317489566	-0.0798916468	0.0926100166	-0.1427685715	-0.1391870691	-0.0969122163	-0.0434719635	0.1333913343	-0.0272036901	-0.0419033795	-0.1196208691	-0.0186790853	0.0154122067	-0.0354143806	0.062104911	0.0385403141	0.1212108453	0.0837552296	-0.0780601444	0.1564632352	0.1053737875	0.1043873508	0.1027501241	0.1004723146	0.097568123	0.094055655	-0.0505038	-0.0133207	0.00017744104849	0.00255063381444	0.0210998	-0.0214181	0.0004587350076099	0.0004452015600399	0.106139	-0.054577	0.011265487321	0.002978648929	-0.00204041	-9.5099999999999e-06	9.044009999999809e-11	4.1632729681e-06	-0.000207125	-0.0001542487	4.290076562500001e-08	2.379266145169e-08	0.000141645	-0.000128592	2.0063306025e-08	1.6535902463999998e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1011.8812644223656	-0.5559745657608346	0.3091077177729486	1023903.6932890052	1526.9395814114769	-1.2408956284491524	1.5398219607042167	2331544.4852810563	985.7326635781188	-9.795032147782194	95.94265477608668	971668.8840448128	993.6747039554626	1024.9265551037258	1.331196	34.524311	0.1461500999999999	0.0793476999999999	0.0664662106	0.08479051	-0.1210929886	0.0464380513	0.0756754857	0.0548724607	0.0518606247	0.1123718048	0.0978700701	0.017101233	-0.0639878041	-0.0748128368	-0.0930356711	0.0812899324	-0.0643209962	0.0879064215	-0.1110318115	-0.0175370994	-0.0087251471	0.1082331817	-0.1770076932	-0.0123749004	0.1159872123	0.0976556821	0.0190649432	-0.0665929882	-0.0768817644	-0.0892268703	0.0660237439	-0.0419616716	0.0821121722	-0.1178262529	0.0107649966	-0.0899738928	-0.0999373783	-0.1753511818	0.0327129568	0.110237157	0.0362374117	-0.0950214782	-0.0040335189	-0.0699091241	-0.0692914632	0.1168466405	0.0527376392	0.0144159804	-0.0055729249	0.0626340101	-0.2896007287	0.0999808979	0.0293330052	0.0569696351	-0.0016417536	-0.0269698909	0.066795699	-0.1111227417	0.0613039262	0.1496946761	0.014481377	-0.2649239327	-0.1581749915	0.0900532928	0.1052111993	0.1037395254	0.101301965	0.0979212136	0.0936287483	0.0884645347	-0.0214276	0.0290762	0.00084542540644	0.00045914204176	0.0211247	2.490000000000131e-05	6.200100000000653e-10	0.00044625295009	0.0437934	-0.0623455999999999	0.00191786188356	0.0038869738393599	-0.00149466	0.0005457499999999	2.9784306249999975e-07	2.2340085156e-06	-0.000707496	-0.0005003709999999	5.00550590016e-07	2.503711376409999e-07	0.000189592	4.794700000000001e-05	3.5945126464000005e-08	2.2989148090000007e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1015.785017586249	3.90375316388338	15.239288764529498	1031819.201952696	1540.1731158672562	13.233534455779363	175.1264341922996	2372133.2268402525	986.1746939272164	0.4420303490975357	0.1953908295232892	972540.5269424388	994.3006330354946	1008.976012074506	1.124355	29.159922	0.22075085	0.133807	-0.023883341	0.0382618436	0.0403564974	-0.0659016065	0.0687996367	0.050715785	-0.1541560007	0.1144756864	0.0915543302	0.0212562474	-0.0605282689	0.0190487962	-0.0176017253	0.0053426274	0.0403285513	-0.074945469	-0.0909778377	-0.073140187	-0.0723091932	-0.0069584066	-0.0475176753	0.1845147726	0.2132495078	0.0912195376	0.0198603852	-0.0605224213	0.0218961881	-0.0153207047	0.0017813399	0.0474270853	-0.0752232566	-0.1041369714	-0.0398582807	-0.0339071329	0.0757389677	-0.0423871897	0.2025764121	0.1719722596	-0.0694520799	-0.0505005483	0.0425664343	0.0149582241	0.0787605499	0.1056779357	-0.0661902006	-0.1043998626	0.1179869406	0.056109129	-0.0418210095	0.1564050801	-0.0523977639	0.1061227418	0.0973427873	-0.1428591934	0.1171457549	0.171845961	0.0432602136	-0.0512651234	0.0062992254	-0.2966377215	-0.0302320506	-0.0973048934	0.1050162037	0.1029638934	0.099573034	0.0948877073	0.0889688234	0.0818933289	-0.0213956	3.200000000000078e-05	1.0240000000000496e-09	0.00045777169936	-0.0662635	-0.0873882	0.00763669749924	0.00439085143225	0.143666	0.0998725999999999	0.0206399195559999	0.0099745362307599	-0.00122194	0.00027272	7.43761984000001e-08	1.4931373636e-06	-0.00106248	-0.000354984	1.1288637504e-06	1.26013640256e-07	0.000148135	-4.1457000000000006e-05	2.1943978225e-08	1.7186828490000002e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1018.5803923092348	2.795374722985798	7.814119841907928	1037506.0155968346	1540.7180549877603	0.5449391205040683	0.2969586450557475	2373812.1249652677	996.563026598848	10.388332671631588	107.91745569648828	993137.865983856	1004.5425719734252	996.620695149457	1.224643	31.760864	0.1049551899999999	0.0749542	-0.0609174696	-0.0157401872	0.1052848271	-0.0906592166	-0.0365852185	-0.0300535148	-0.1198770886	0.0619484757	-0.0934223711	0.0629503332	0.0060678717	0.0903769956	-0.0919540906	-0.0255435886	-0.0129021415	-0.0200850131	-0.0311636151	0.1029366383	-0.1203077476	0.1081185203	-0.0360118944	-0.1006041742	0.004948885	-0.0923916292	0.060403943	0.0139288388	0.0942475756	-0.0927140791	-0.0380658125	0.0016297525	-0.0166522001	0.0044648246	0.1207463821	-0.1596639756	-0.0404524876	-0.0285950176	-0.0508573268	0.0208337315	-0.0880042883	0.0061002163	-0.0905759307	0.0598813527	0.157355748	-0.1129812947	-0.0680877753	-0.0809121924	0.1368177731	-0.0014412017	-0.1646192176	0.0501902247	-0.0021039221	0.0469645886	0.2205024951	0.117466513	0.0806797797	0.0374833514	0.1368939017	-0.1659649355	0.1885165312	0.0187885607	0.246697778	-0.0661452564	0.1047888607	0.1020614103	0.097568123	0.0913867402	0.0836242104	0.0744148388	-0.0213658	2.9799999999999965e-05	8.880399999999978e-10	0.00045649740964	-0.138317	-0.0720534999999999	0.0051917068622499	0.019131592489	0.13237	-0.011296	0.0175218168999999	0.000127599616	-0.00155559	-0.00033365	1.113223225e-07	2.4198602481e-06	-0.00106248	0.0	1.1288637504e-06	0.0	5.02672e-05	-9.78678e-05	2.52679139584e-09	9.57810627684e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1014.8086817917712	-3.771710517463589	14.225800227545454	1029836.6606399524	1530.0067194074593	-10.71133558030101	114.7327099138224	2340920.561431976	996.5551526249408	-0.0078739739071806	6.199946509096246e-05	993122.172223319	1004.6593218946082	1002.2097016581782	1.344089	34.858688	0.36762736	0.259573	0.0371113069	-0.0309717203	-0.0213798258	0.0663416629	-0.0691388043	-0.0260275702	-0.0007685321	-0.0357112366	-0.0650961083	-0.0966190397	0.064419055	0.0600413756	0.0602602982	0.0188268427	-0.0587159037	0.1203559183	-0.0335324389	0.036475048	-0.0532556529	-0.0751582987	-0.1128426374	0.0928268963	0.0005701071	-0.0646408582	-0.095467337	0.0663291865	0.0493137738	0.044587289	0.0326598085	-0.0818415604	0.1205028738	-0.0276578666	0.0363303827	0.0106892125	0.1041177044	-0.1117144205	0.0841690402	-0.0200848314	0.0514442735	0.0581872109	-0.0346341346	0.1267133369	-0.1078067988	0.0119158351	0.0951777813	0.0089523949	-0.0519443035	-0.024302316	0.0747886198	0.0169892031	-0.0597757972	-0.1166081008	0.0735826086	-0.1592151061	-0.0971070857	-0.0395558592	0.1118091802	0.1217708621	0.1385782282	0.1209863844	0.0542059823	0.1118700715	0.1045292404	0.1010331881	0.0952927888	0.0874355596	0.0776360405	0.0661119177	-0.0391906	-0.0178248	0.0003177234950399	0.0015359031283599	0.113388	0.251705	0.063355407025	0.012856838544	0.171754	0.039384	0.0294994365159999	0.001551099456	-0.00173006	-0.00017447	3.043978090000005e-08	2.9931076036000004e-06	-0.000343861	0.000718619	1.1824038732100002e-07	5.16413267161e-07	-0.000230915	-0.0002811822	5.3321737225e-08	7.906342959684e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1012.9028538561264	-1.9058279356447656	3.632180120283989	1025972.1913498852	1524.3859937731852	-5.620725634274095	31.592556655785923	2323752.6580118616	988.8008124013296	-7.754340223611166	60.12979230351407	977727.0466055294	996.7076662078616	1019.8825224982368	1.221361	31.675756	0.2012175999999999	0.108669	0.0706278741	0.0534066817	-0.1033251456	0.0493173824	0.048817519	0.082170562	0.0787456691	0.0327219344	0.0588545374	-0.0208819484	-0.0088412277	-0.1282287354	0.0491680115	0.0667040211	-0.1651898781	0.0429480711	-0.1811372358	0.0679250328	0.0709290136	0.0457999043	-0.2456353365	-0.0461325862	0.054484643	0.0591041913	-0.0178936093	-0.0124440924	-0.1294127656	0.0480170061	0.0660368509	-0.1522239909	0.0376064909	-0.1621340462	0.1120407847	-0.0063385171	-0.0934380252	-0.2524969979	-0.0245734345	0.0551348147	0.0885028381	-0.0231642791	0.0980907826	0.0174671705	-0.1860805066	0.2053111228	0.0858301837	0.0930582028	-0.0370024531	0.0362354252	-0.1355476881	0.0161971044	0.0011603016	0.022885536	0.1552674973	-0.1558100398	-0.094738684	-0.2123284803	0.0933258186	0.1816921046	0.0569409309	-0.1493601237	-0.0915437082	-0.0465234421	0.1042374227	0.0998804934	0.0927533379	0.0830536308	0.0710503974	0.0570765522	-0.0213685	0.0178221	0.00031762724841	0.0004566127922499	0.196534	0.0831459999999999	0.0069132573159999	0.0386256131559999	0.110686	-0.0610679999999999	0.012251390596	0.0037293006239999	-0.00126992	0.00046014	2.1172881960000014e-07	1.6126968063999998e-06	-0.000599232	-0.000255371	3.59078989824e-07	6.5214347641e-08	-0.000299034	-6.8119e-05	8.9421333156e-08	4.640198161000001e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0
